为了,"['for', 'for the sake of']","['prep.', 'misc.']"
奡,"['strong', '同“傲”']","['adj.', 'misc.']"
傲,"['proud', 'defy', 'refuse to yield to']","['adj.', 'vt.', 'misc.']"
傲岸,['proud'],['adj.']
傲骨,"['self-esteem', 'lofty and unyielding character']","['n.', 'misc.']"
傲慢,['arrogance'],['n.']
傲气,"['haughtiness', 'air of arrogance']","['n.', 'misc.']"
傲然,"['proud', 'proudly']","['adj.', 'adv.']"
傲世,['look down upon the world'],['look down upon the world\n']
傲视,"['despise', 'show disdain for']","['vt.', 'misc.']"
奥,['abstruse'],['adj.']
奥博,['erudite'],['adj.']
奥林匹克运动会,"['Olympics', 'Olympic Games']","['n.', 'misc.']"
奥秘,"['secret', 'profound mystery']","['n.', 'misc.']"
奥妙,"['secret', 'profound', ""what's behind it""]","['n.', 'adj.', 'misc.']"
奥义,['profound meaning'],['profound meaning\n']
奥援,['powerful backing'],['powerful backing\n']
奥运村,['Olympic village'],['n.']
奥运会,['Olympic Games'],['Olympic Games\n']
骜,['a surname'],['a surname\n ;\n']
慠,['同“傲”'],['同“傲”\n']
隩,['southwest or secret corner of the house'],['southwest or secret corner of the house\n']
墺,['bay land'],['bay land\n ;\n']
澳,['bay (often used in place names)'],['bay (often used in place names)\n ;\n']
澳,['bay (often used in place names)'],['bay (often used in place names)\n ;\n']
澳门币,"['pataca', 'MOP']","['n.', 'vt.']"
懊,['regretful'],['adj.']
懊悔,"['regret', 'repent (of)']","['n.', 'misc.']"
懊恼,"['annoyed', 'upset', 'feel remorseful and angry']","['adj.', 'vt.', 'misc.']"
懊丧,['dejected'],['adj.']
鏊,['a flat iron plate for making cakes'],['a flat iron plate for making cakes\n']
八,"['eight', '8']","['num.', 'misc.']"
八拜之交,['sworn brothers'],['sworn brothers\n ;\n']
八宝菜,['assorted soy-sauce pickles'],['assorted soy-sauce pickles\n ;\n']
八宝饭,['chinese rice pudding'],['chinese rice pudding\n ;\n']
八宝粥,['Mixed Congee'],['Mixed Congee\n ;\n']
八成,['eighty per cent'],['eighty per cent\n']
八方,['all directions'],['all directions\n ;\n']
八竿子打不着,['very distant'],['very distant\n']
八哥,"['myna', 'Crested myna']","['n.', 'misc.']"
八股,['eight-part essay'],['eight-part essay\n']
八卦,['gossip'],['n.']
八国联军,['the Eight-Power Allied Forces'],['the Eight-Power Allied Forces\n']
八行书,['letter of recommendation for post'],['letter of recommendation for post\n ;\n']
八角,"['octagonal', '(茴香) anise']","['adj.', 'misc.']"
八角枫,['Alangium platanifolium'],['Alangium platanifolium\n']
八角茴香,['illicium verum'],['illicium verum\n']
八节,['eight joints'],['eight joints\n']
八九不离十,['pretty close'],['pretty close\n ;\n']
八路,['octuple'],['adj.']
八路军,['Eighth Route Army'],['Eighth Route Army\n']
八面光,['manage to please everybody'],['manage to please everybody\n']
八面玲珑,['be smooth and slick in establishing social relations'],['be smooth and slick in establishing social relations\n ;\n']
八面威风,['an awe-inspiring reputation extending in every direction'],['an awe-inspiring reputation extending in every direction\n ;\n']
八旗,['the “Eight Banners”'],['the “Eight Banners”\n']
八仙,['the Eight Immortals (in the legend)'],['the Eight Immortals (in the legend)\n']
八仙过海,['The Eight Immortals Crossing the Sea'],['The Eight Immortals Crossing the Sea\n']
八仙桌,['old-fashioned square table for eight people'],['old-fashioned square table for eight people\n']
八一建军节,"[""Army Day (August 1, anniversary of the founding of the Chinese People's Liberation Army)""]","[""Army Day (August 1, anniversary of the founding of the Chinese People's Liberation Army)\n""]"
八一南昌起义,['the August 1 Nanchang Uprising (1927)'],['the August 1 Nanchang Uprising (1927)\n']
八音盒,['music box'],['n.']
八字,['horoscope'],['n.']
八字没一撇,"[""you're not even close""]","[""you're not even close\n""]"
巴,"['wish', 'cling to']","['n.', 'misc.']"
巴,"['wish', 'cling to']","['n.', 'misc.']"
巴,"['wish', 'cling to']","['n.', 'misc.']"
巴,"['wish', 'cling to']","['n.', 'misc.']"
巴巴,['Baba(地名)'],['Baba(地名)\n']
巴不得,['be only too anxious(to do sth.)'],['be only too anxious(to do sth.)\n ;\n']
巴旦杏,"['almond', 'armeniaca']","['n.', 'misc.']"
巴豆,"['croton', 'tiglium']","['n.', 'misc.']"
巴结,"['fawn on', 'flatter', 'curry favour with']","['v.', 'vt.', 'misc.']"
巴黎公社,['the paris commune'],['the paris commune\n ;\n']
巴林石,['barlin stone'],['barlin stone\n']
巴儿狗,['pekingese'],['n.']
巴士,['bus'],['n.']
巴松,['Bason'],['n.']
巴望,['hope for anxiously'],['hope for anxiously\n ;\n']
巴乌,['Bau'],['n.']
巴掌,['hand'],['n.']
扒,"['scrabble', 'dig up']","['vi.', 'misc.']"
扒拉,['push lightly'],['push lightly\n ;\n']
扒皮,['scaling'],['scaling\n']
叭,['同 “吧”'],['同 “吧”\n']
叭儿狗,['lapdog'],['n.']
朳,['a rake without teeth'],['a rake without teeth\n']
芭,"['flower', '']","['n.', 'misc.']"
芭蕉,"['banana', 'Chinese banana']","['n.', 'misc.']"
芭蕉扇,['palm-leaf fan'],['palm-leaf fan\n']
芭蕾舞,['ballet'],['n.']
夿,['见 “奤夿屯”'],['见 “奤夿屯”\n']
吧,"['bar', ""draw on one's pipe""]","['n.', 'misc.']"
吧,"['bar', ""draw on one's pipe""]","['n.', 'misc.']"
吧嗒,"['click', ""smack one's lips (in surprise, alarm, etc.)""]","['vt.', 'misc.']"
吧嗒,"['click', ""smack one's lips (in surprise, alarm, etc.)""]","['vt.', 'misc.']"
吧唧,"['squelch', ""smack one's lips""]","['vt.', 'misc.']"
吧唧,"['squelch', ""smack one's lips""]","['vt.', 'misc.']"
吧台,['bar counter'],['bar counter\n']
岜,['stone mountain'],['stone mountain\n']
疤,"['scar', 'a scar-like mark']","['vi.', 'misc.']"
疤痕,['scar'],['vt.']
捌,['eight'],['num.']
笆,['basketry'],['n.']
笆斗,['round-bottomed basket'],['round-bottomed basket\n ;\n']
笆篓,['basket'],['n.']
粑,['cake'],['n.']
鲃,['barbel'],['n.']
拔,"['select', 'pull out']","['vt.', 'misc.']"
拔除,"['remove', 'pull out']","['vt.', 'misc.']"
拔刀相助,['draw a sword and render help'],['draw a sword and render help\n ;\n']
拔地而起,['rise straight from the ground'],['rise straight from the ground\n ;\n']
拔高,['raise'],['vt.']
拔河,['tug of war'],['tug of war\n']
拔火罐儿,"['cupping', 'detachable stove chimney']","['n.', 'misc.']"
拔火罐儿,"['cupping', 'detachable stove chimney']","['n.', 'misc.']"
拔脚,['见“拔腿”'],['见“拔腿”\n']
拔节,['jointing'],['n.']
拔锚,['weigh anchor'],['weigh anchor\n']
拔苗助长,['spoil things by excessive enthusiasm'],['spoil things by excessive enthusiasm\n ;\n']
拔取,"['choose', 'drawing off']","['vt.', 'misc.']"
拔丝,['wire drawing'],['wire drawing\n']
拔腿,['take a a step'],['take a a step\n']
拔营,"['decamp', 'strike a camp']","['vi.', 'misc.']"
拔擢,['select and promote the best'],['select and promote the best\n']
胈,['hair on calves and arms'],['hair on calves and arms\n']
菝,['China root greenbrier'],['China root greenbrier\n']
跋,"['walk', 'cross mountains']","['n.', 'misc.']"
跋,"['walk', 'cross mountains']","['n.', 'misc.']"
跋扈,"['bullying', 'domineering']","['n.', 'adj.']"
跋山涉水,['cross mountains and river'],['cross mountains and river\n ;\n']
跋涉,"['trek', 'trudge']","['n.', 'vi.']"
跋文,['postscript'],['n.']
魃,['a legendary evil spirit causing drought'],['a legendary evil spirit causing drought\n']
鼥,['an ancient name for a marmot'],['an ancient name for a marmot\n']
把,"['control', 'a handful of']","['n.', 'misc.']"
把,"['control', 'a handful of']","['n.', 'misc.']"
把,"['control', 'a handful of']","['n.', 'misc.']"
把柄,['handle'],['n.']
把持,"['control', 'keep under control']","['n.', 'misc.']"
把舵,"['steer', 'hold the rudder']","['vt.', 'misc.']"
把风,"[""keep watch (for one's partners in a clandestine activity)""]","[""keep watch (for one's partners in a clandestine activity)\n ;\n""]"
把关,['guard a pass'],['guard a pass\n']
把家,['keep house'],['keep house\n ;\n']
把酒,"['drink', ""raise one's wine cup""]","['vt.', 'misc.']"
把揽,"['control', 'dominate']","['n.', 'vt.']"
把牢,"['dependable', 'safe and secure']","['adj.', 'misc.']"
把脉,"[""take one's pulse""]","[""take one's pulse\n ;\n""]"
把门,['guard the gate'],['guard the gate\n ;\n']
把式,"['wushu', 'martial arts']","['n.', 'misc.']"
把手,['handle'],['n.']
把守,['guard'],['n.']
把头,"['gangmaster', 'labour contractor']","['n.', 'misc.']"
把玩,['play with'],['play with\n ;\n']
把稳,"['trustworthy', 'be sure about']","['adj.', 'misc.']"
把握,"['grasp', 'seize']","['n.', 'vt.']"
把戏,['acrobatics'],['n.']
把兄弟,['sworn brothers'],['sworn brothers\n']
把盏,['hold cup in hand'],['hold cup in hand\n']
把捉,['grasp'],['n.']
把子,"['handle', 'handle trace']","['n.', 'misc.']"
把子,"['handle', 'handle trace']","['n.', 'misc.']"
把子,"['handle', 'handle trace']","['n.', 'misc.']"
钯,['palladium （Pd）'],['palladium （Pd）\n']
靶,['target'],['n.']
靶标,['drone'],['n.']
靶场,"['range', 'firing range']","['n.', 'misc.']"
靶船,['target ship'],['target ship\n']
靶点,['target spot'],['target spot\n']
靶机,['drone aircraft'],['drone aircraft\n ;\n']
靶器官,['target organ'],['target organ\n']
靶细胞,['target cell'],['target cell\n']
靶心,"[""bull's-eye"", 'blank']","['n.', 'adj.']"
靶子,['target'],['n.']
坝,"['dyke', 'dam', 'plain']","['n.', 'v.', 'adj.']"
坝子,"['embankment', 'dam']","['n.', 'v.']"
把,"['control', 'a handful of']","['n.', 'misc.']"
把子,"['handle', 'handle trace']","['n.', 'misc.']"
爸,['dad'],['n.']
爸爸,['dad'],['n.']
耙,"['harrow', 'rake']","['n.', 'vi.']"
罢,"['cease', 'stop']","['vi.', 'vt.']"
罢黜,['ban'],['vt.']
罢工,"['strike', 'go on strike']","['vi.', 'misc.']"
罢官,['dismiss from office'],['dismiss from office\n']
罢教,"[""teachers' strike""]","[""teachers' strike\n""]"
罢课,"[""students' strike""]","[""students' strike\n ;\n""]"
罢论,['abandoned idea'],['abandoned idea\n']
罢免,"['recall', 'remove from office']","['vt.', 'misc.']"
罢免权,['right to recall'],['right to recall\n ;\n']
罢赛,['strike'],['vi.']
罢市,"[""shopkeepers' strike""]","[""shopkeepers' strike\n ;\n""]"
罢手,"['stop', 'give up']","['vt.', 'misc.']"
罢休,"['stop', 'give up']","['vt.', 'misc.']"
罢职,"['dismiss', 'remove from office']","['vt.', 'misc.']"
鲅,['Spanish mackerel'],['n.']
鲌,['Spanish mackerel'],['n.']
霸,"['tyrant', 'lord']","['n.', 'vi.']"
霸道,['adj. potent ; strong；bossy'],['adj. potent ; strong；bossy\n ;\n']
霸道,['adj. potent ; strong；bossy'],['adj. potent ; strong；bossy\n ;\n']
霸气,['n. aggressiveness'],['n. aggressiveness\n']
霸权,['hegemony'],['n.']
霸权主义,['hegemonism'],['n.']
霸王,"['Xiang Yu, the Conqueror (232-202 B.C.)']","['Xiang Yu, the Conqueror (232-202 B.C.)\n']"
霸王鞭,['rattle stick dance'],['rattle stick dance\n']
霸王鞭,['rattle stick dance'],['rattle stick dance\n']
霸业,['accomplishments of obtaining the dominant position'],['accomplishments of obtaining the dominant position\n']
霸占,['forcibly occupy'],['forcibly occupy\n']
霸主,['a powerful chief of the princes of the Spring and Autumn Period (770-476 B.C.)'],['a powerful chief of the princes of the Spring and Autumn Period (770-476 B.C.)\n']
吧,"['bar', ""draw on one's pipe""]","['n.', 'misc.']"
罢,"['cease', 'stop']","['vi.', 'vt.']"
掰,"['breakoff', 'sever', 'break off with hands']","['n.', 'vt.', 'misc.']"
掰腕子,['hand wrestling'],['hand wrestling\n']
白,"['white', 'in vain']","['adj.', 'misc.']"
白,"['white', 'in vain']","['adj.', 'misc.']"
白,"['white', 'in vain']","['adj.', 'misc.']"
白皑皑,['dazzlingly white'],['dazzlingly white\n ;\n']
白矮星,['white dwarf'],['white dwarf\n']
白白,['in vain'],['in vain\n ;\n']
白班,['day shift'],['day shift\n']
白报纸,['newsprint'],['n.']
白璧微瑕,['a slight flaw in a white jade'],['a slight flaw in a white jade\n ;\n']
白璧无瑕,"['faultless', 'flawless white jade']","['adj.', 'misc.']"
白菜,['Chinese cabbage'],['Chinese cabbage\n']
白茶,['white tea'],['white tea\n']
白痴,['idiocy'],['n.']
白炽灯,['incandescent light bulb'],['incandescent light bulb\n']
白唇鹿,['white-lipped deer'],['white-lipped deer\n']
白醋,['white vinegar'],['white vinegar\n ;\n']
白搭,['no use'],['no use\n ;\n']
白带,"['leucorrhea', 'leukorrhoea']","['n.', 'misc.']"
白道,"[""moon's path""]","[""moon's path\n""]"
白地,['bare land'],['bare land\n']
白地,['bare land'],['bare land\n']
白癜风,"['leukoderma', 'leucoderma']","['n.', 'misc.']"
白丁,"['commoner', 'common man']","['n.', 'misc.']"
白垩,"['whiting', 'Cretaceous', 'chalk', 'greda']","['n.', 'adj.', 'vt.', 'misc.']"
白矾,"['alum', 'alumen']","['n.', 'misc.']"
白饭,['rice with nothing to go with it'],['rice with nothing to go with it\n']
白费,['go to waste'],['go to waste\n']
白粉,['whiting'],['n.']
白干儿,"['spirit', 'white spirit']","['n.', 'misc.']"
白宫,['the White House'],['the White House\n']
白骨,['bones of the dead'],['bones of the dead\n']
白骨顶,['coot'],['n.']
白骨精,['White Bone Demon'],['White Bone Demon\n']
白鹳,['white stork'],['white stork\n']
白果,"['ginkgo', 'Salisburia adiantifolia']","['n.', 'misc.']"
白鹤,['white crane'],['n.']
白喉,"['diphtheria', 'diphtheritis']","['n.', 'misc.']"
白虎,['White Tiger'],['White Tiger\n ;\n']
白虎星,['White Tiger'],['White Tiger\n']
白花花,['shining white'],['shining white\n']
白化,['albefaction'],['albefaction\n']
白化病,['albinism'],['albinism\n']
白话,"['vernacular', 'the written form of modern Chinese']","['adj.', 'misc.']"
白话,"['vernacular', 'the written form of modern Chinese']","['adj.', 'misc.']"
白话,"['vernacular', 'the written form of modern Chinese']","['adj.', 'misc.']"
白话诗,['free verse written in the vernacular'],['free verse written in the vernacular\n']
白话文,['writings in the vernacular'],['writings in the vernacular\n']
白桦,['white birch'],['white birch\n']
白晃晃,['dazzling white'],['dazzling white\n']
白灰,['n. lime'],['n. lime\n ;\n']
白芨,['Bletilla'],['Bletilla\n ;\n']
白及,['rhizoma bletillae'],['rhizoma bletillae\n']
白金,['platinum'],['n.']
白金汉宫,['Buckingham Palace'],['Buckingham Palace\n']
白净,['fair and clear'],['fair and clear\n']
白酒,['liquor and spirits'],['liquor and spirits\n']
白驹过隙,"[""Time passes quickly like a white pony's shadow across a crevice.""]","[""Time passes quickly like a white pony's shadow across a crevice.\n ;\n""]"
白卷,['blank examination paper'],['blank examination paper\n']
白开水,['plain boiled water'],['plain boiled water\n']
白蜡,"['beeswax', 'white wax']","['vt.', 'misc.']"
白蜡虫,['white wax insect'],['white wax insect\n']
白蜡树,['Chinese ash'],['Chinese ash\n']
白兰地,['brandy'],['n.']
白兰瓜,['honey dew melon'],['honey dew melon\n']
白莲教,['White Lotus Society'],['White Lotus Society\n']
白鲢,"['silver carp', 'hypophthalmichthys molitrix']","['n.', 'misc.']"
白蔹,['radix ampelopsis'],['radix ampelopsis\n ;\n']
白磷,['white phosphorus'],['white phosphorus\n']
白蛉,['sandfly'],['n.']
白领,['white-collar worker'],['white-collar worker\n']
白鹭,['egret'],['n.']
白露,['White Dew'],['White Dew\n ;\n']
白马王子,['Prince Charming'],['Prince Charming\n ;\n']
白茫茫,['a vast expanse of whiteness'],['a vast expanse of whiteness\n ;\n']
白茅,"['cogon', 'cogongrass']","['n.', 'misc.']"
白煤,"['anthracite', 'hard coal']","['n.', 'misc.']"
白蒙蒙,['a vast expanse of whiteness'],['a vast expanse of whiteness\n']
白米,['rice'],['n.']
白面,"['flour', 'wheat flour']","['n.', 'misc.']"
白面儿,['heroin （指毒品海洛因）'],['heroin （指毒品海洛因）\n']
白面书生,['an inexperienced youth'],['an inexperienced youth\n ;\n']
白描,['line drawing in traditional ink and brush style'],['line drawing in traditional ink and brush style\n']
白木耳,['phytin'],['n.']
白内障,['cataract'],['n.']
白嫩,['fair-complexioned'],['fair-complexioned\n']
白皮书,['white paper'],['white paper\n ;\n']
白票,['White Paper'],['White Paper\n']
白旗,['white flag'],['white flag\n']
白鳍豚,['white-flag dolphin'],['white-flag dolphin\n']
白区,['White Area'],['White Area\n']
白热,"['incandescence', 'glow', 'white glow']","['n.', 'vi.', 'misc.']"
白热化,['turn white-hot'],['turn white-hot\n ;\n']
白人,"['Caucasian', 'white man or woman']","['adj.', 'misc.']"
白刃,['naked sword'],['naked sword\n ;\n']
白刃战,['hand-to-hand combat'],['hand-to-hand combat\n ;\n']
白日,['sun'],['n.']
白日见鬼,"['impossible', 'wild daydream']","['adj.', 'misc.']"
白日做梦,['indulge in wishful thinking'],['indulge in wishful thinking\n ;\n']
白肉,['plain boiled pork'],['plain boiled pork\n']
白色,"['whiteness', 'white (colour)']","['n.', 'misc.']"
白色恐怖,['white terror'],['white terror\n']
白色垃圾,['white trash'],['white trash\n']
白色污染,['white pollution'],['white pollution\n ;\n']
白山黑水,['White mountain and Black water -- the landscape of northeast China'],['White mountain and Black water -- the landscape of northeast China\n']
白鳝,['white eel'],['white eel\n ;\n']
白食,['food and drinks one gets without pay'],['food and drinks one gets without pay\n ;\n']
白事,"['funeral', 'funeral affairs']","['n.', 'misc.']"
白手,['empty handed'],['empty handed\n']
白手起家,['build up from nothing'],['build up from nothing\n ;\n']
白首,['hoary head'],['hoary head\n']
白薯,['sweet potato'],['sweet potato\n']
白水,['plain boiled water'],['plain boiled water\n']
白苏,['common perilla'],['common perilla\n']
白汤,['clear soup'],['clear soup\n ;\n']
白糖,['white sugar'],['n.']
白陶,['white pottery'],['white pottery\n']
白体,['lean type'],['lean type\n']
白天,['daytime'],['n.']
白条,"['IOU', 'white bar']","['n.', 'misc.']"
白条,"['IOU', 'white bar']","['n.', 'misc.']"
白铁,['galvanized iron'],['galvanized iron\n ;\n']
白厅,['Whitehall'],['n.']
白铜,['cupronickel'],['n.']
白头,['old age (指年老)'],['old age (指年老)\n ;\n']
白头,['old age (指年老)'],['old age (指年老)\n ;\n']
白头鹎,['pycnonotus sinensis'],['pycnonotus sinensis\n']
白头翁,['the root of Chinese pulsatilla'],['the root of Chinese pulsatilla\n']
白头偕老,['live to old age in conjugal bliss'],['live to old age in conjugal bliss\n']
白文,['the text of an annotated book'],['the text of an annotated book\n']
白皙,"['fair-skinned', 'white-skinned']","['adj.', 'misc.']"
白细胞,"['leukocyte', 'hemameba']","['n.', 'misc.']"
白鹇,['silver pheasant meat'],['silver pheasant meat\n']
白鲞,['a kind of preserved fish'],['a kind of preserved fish\n']
白相,['play'],['vt.']
白熊,"['bear', 'sea bear']","['vi.', 'misc.']"
白血病,['leukemia'],['n.']
白血球,"['leucocyte', 'white corpuscle']","['n.', 'misc.']"
白眼,['supercilious look'],['supercilious look\n ;\n']
白眼珠,['the white of the eye'],['the white of the eye\n']
白羊座,['Aries'],['n.']
白杨,"['aspen', 'white poplar']","['adj.', 'misc.']"
白药,"['wounds', 'etc.', 'a white medicinal powder for treating hemorrhage']","['n.', 'abbr.', 'misc.']"
白页,['white pages'],['white pages\n']
白夜,['white night'],['white night\n']
白衣天使,['angels in white -- hospital nurses'],['angels in white -- hospital nurses\n']
白衣战士,['warrior in white'],['warrior in white\n ;\n']
白蚁,"['termite', 'white ant']","['n.', 'misc.']"
白银,"['silver', 'silver dollar or ingot']","['n.', 'misc.']"
白玉,['white jade'],['white jade\n']
白云苍狗,['White clouds change into grey dogs.'],['White clouds change into grey dogs.\n ;\n']
白云岩,['dolomite'],['n.']
白斩鸡,['sliced cold ckicken'],['sliced cold ckicken\n ;\n']
白芷,['radix angelicae'],['radix angelicae\n ;\n']
白纸黑字,['put it down in black and white'],['put it down in black and white\n ;\n']
白质,"['alba', 'white matter']","['n.', 'misc.']"
白种,['the white race'],['the white race\n']
白昼,['daytime'],['n.']
白术,['Rhizoma Atractylodis Macrocephalae'],['Rhizoma Atractylodis Macrocephalae\n ;\n']
白字,['wrongly written or mispronounced character'],['wrongly written or mispronounced character\n']
白族,['the Bai nationality (living in Yunnan province)'],['the Bai nationality (living in Yunnan province)\n']
白嘴儿,['rice with nothing to go with it'],['rice with nothing to go with it\n ;\n']
百,"['hundred', 'numerous', 'centum', 'all kind of']","['n.', 'adj.', 'num.', 'misc.']"
百般,['all sorts'],['all sorts\n ;\n']
百宝箱,['treasure chest'],['treasure chest\n']
百倍,['a hundred times'],['a hundred times\n ;\n']
百步穿杨,['shoot with great precision'],['shoot with great precision\n']
百尺竿头，更进一步,['One should try to do still better after having achieved a fair degree of success.'],['One should try to do still better after having achieved a fair degree of success.\n']
百川归海,['All rivers flow to the sea.'],['All rivers flow to the sea.\n ;\n']
百儿八十,['about a hundred'],['about a hundred\n ;\n']
百发百中,['shoot with great accuracy'],['shoot with great accuracy\n ;\n']
百废俱兴,['put a hundred broken things right at the same time'],['put a hundred broken things right at the same time\n']
百分比,"['percentage', 'per centum']","['n.', 'misc.']"
百分表,['dial indicator'],['dial indicator\n ;\n']
百分点,['percent point'],['percent point\n ;\n']
百分号,['per cent (%)'],['per cent (%)\n']
百分率,"['percentage', 'per cent']","['n.', 'misc.']"
百分数,"['percentage', 'per cent']","['n.', 'misc.']"
百分之百,"['absolutely', 'a hundred percent']","['adv.', 'misc.']"
百分制,['hundred-mark system'],['hundred-mark system\n ;\n']
百合,"['lily', 'Lilium brownii']","['n.', 'misc.']"
百花齐放,['All flowers bloom together.'],['All flowers bloom together.\n ;\n']
百花齐放，百家争鸣,['Let a hundred flowers blossom'],['Let a hundred flowers blossom\n ;\n']
百货,['department store'],['department store\n']
百家争鸣,['contention of a hundred schools of thought'],['contention of a hundred schools of thought\n ;\n']
百科,['encyclopedia'],['n.']
百科全书,['encyclopaedia'],['encyclopaedia\n ;\n']
百孔千疮,['be afflicted with all ills'],['be afflicted with all ills\n ;\n']
百口莫辩,['beyond dispute'],['beyond dispute\n ;\n']
百里,['a surname'],['a surname\n']
百里挑一,['Only one in a hundred is chosen.'],['Only one in a hundred is chosen.\n ;\n']
百炼成钢,['be toughened and hardened into steel'],['be toughened and hardened into steel\n ;\n']
百灵,['lark'],['n.']
百忙,['extremely busy'],['extremely busy\n']
百衲本,['collection of various editions'],['collection of various editions\n']
百衲衣,"[""monk's ragged robe, made of patches""]","[""monk's ragged robe, made of patches\n""]"
百年,['a hundred years'],['a hundred years\n ;\n']
百年不遇,['not occur even in a hundred years'],['not occur even in a hundred years\n ;\n']
百年大计,['a project of vital and lasting importance'],['a project of vital and lasting importance\n ;\n']
百日咳,"['pertussis', 'whooping cough']","['n.', 'misc.']"
百日维新,['Hundred Days of Reform'],['Hundred Days of Reform\n']
百十,['a hundred or so'],['a hundred or so\n']
百世,['a period of a hundred generations'],['a period of a hundred generations\n ;\n']
百事通,"['know-all', 'Jack of all trades']","['n.', 'misc.']"
百思不解,"['incomprehensible', 'remain puzzled after pondering over sth. a hundred times']","['adj.', 'misc.']"
百万,['million'],['n.']
百闻不如一见,['it is better to see for oneself rather than to hear for many times'],['it is better to see for oneself rather than to hear for many times\n']
百无禁忌,"['uninhibited', 'Nothing Scared']","['adj.', 'misc.']"
百无聊赖,"['bored', 'bored stiff']","['adj.', 'misc.']"
百无一失,['no risk at all'],['no risk at all\n']
百无一是,['Absolutely nothing is correct.'],['Absolutely nothing is correct.\n']
百物,['all things'],['all things\n']
百姓,"['husbandman', 'common people']","['n.', 'misc.']"
百叶,['a cake of many thin layers， made of bean curds'],['a cake of many thin layers， made of bean curds\n']
百叶窗,"['jalousie', 'window-shades']","['n.', 'misc.']"
百叶箱,['thermometer screen'],['thermometer screen\n ;\n']
百依百顺,['docile and obedient'],['docile and obedient\n ;\n']
百战不殆,['you can fight a hundred battles with no danger of defeat.'],['you can fight a hundred battles with no danger of defeat.\n']
百折不挠,['be indomitable'],['be indomitable\n ;\n']
百褶裙,['pleated skirt'],['pleated skirt\n']
百足之虫，死而不僵,"[""The centipede goes on wriggling when he's already dead.""]","[""The centipede goes on wriggling when he's already dead.\n ;\n""]"
伯,"['uncle', 'senior', 'paternal elder uncle']","['n.', 'adj.', 'misc.']"
佰,['hundred'],['n.']
柏,['cypress'],['n.']
柏油,"['tar', 'pitch', 'asphatum']","['n.', 'vi.', 'misc.']"
捭,['open'],['adj.']
捭阖,['manoeuvre'],['vi.']
摆,"['place', 'put', 'lay bare']","['n.', 'vt.', 'misc.']"
摆,"['place', 'put', 'lay bare']","['n.', 'vt.', 'misc.']"
摆,"['place', 'put', 'lay bare']","['n.', 'vt.', 'misc.']"
摆布,"['manipulate', 'order about']","['vt.', 'misc.']"
摆动,"['swing', 'wiggle', 'sway']","['n.', 'vi.', 'vt.']"
摆渡,"['ferry', 'ferry-boat']","['n.', 'misc.']"
摆放,['put'],['vt.']
摆好,['place properly'],['place properly\n ;\n']
摆架子,['put on airs'],['put on airs\n ;\n']
摆件,['goods of furniture for display rather than for use'],['goods of furniture for display rather than for use\n']
摆阔,"[""parade one's wealth""]","[""parade one's wealth\n ;\n""]"
摆擂台,['make open challenges to fights'],['make open challenges to fights\n']
摆龙门阵,['arrange troops according to the Dragongate tactics'],['arrange troops according to the Dragongate tactics\n']
摆门面,['keep up appearances'],['keep up appearances\n ;\n']
摆弄,['move back and forth'],['move back and forth\n ;\n']
摆拍,['staged photography'],['staged photography\n']
摆平,['treat fairly'],['treat fairly\n']
摆谱儿,['try to appear rich and elegant'],['try to appear rich and elegant\n ;\n']
摆设,['furnish and decorate'],['furnish and decorate\n']
摆设,['furnish and decorate'],['furnish and decorate\n']
摆手,['wave'],['vi.']
摆摊子,['set up a stall'],['set up a stall\n']
摆脱,"['dispense', 'get rid of']","['vt.', 'misc.']"
摆钟,['pendulum clock'],['pendulum clock\n ;\n']
摆子,['malaria'],['n.']
败,"['loss', 'lose', 'defeat', 'to defeat']","['n.', 'vi.', 'vt.', 'misc.']"
败北,['suffer defeat'],['suffer defeat\n ;\n']
败笔,['a faulty stroke in calligraphy or painting'],['a faulty stroke in calligraphy or painting\n ;\n']
败兵,['defeated troops'],['defeated troops\n']
败坏,"['ruin', 'corrupt', 'undermine']","['n.', 'adj.', 'vt.']"
败火,['relieve inflammation or internal heat'],['relieve inflammation or internal heat\n']
败绩,['be utterly defeated'],['be utterly defeated\n ;\n']
败家,['dissipate a family fortune'],['dissipate a family fortune\n']
败家子,"['wastrel', 'spendthrift', 'black sheep']","['n.', 'adj.', 'misc.']"
败将,['a defeated general'],['a defeated general\n']
败局,['lost game'],['lost game\n ;\n']
败类,"['degenerate', 'scum of a community']","['vt.', 'misc.']"
败露,['fall through and stand exposed'],['fall through and stand exposed\n ;\n']
败落,['decline (in wealth and position)'],['decline (in wealth and position)\n']
败诉,['lose a lawsuit'],['lose a lawsuit\n']
败退,['retreat in defeat'],['retreat in defeat\n']
败亡,['destruction in defeat'],['destruction in defeat\n']
败胃,"[""spoil one's appetite""]","[""spoil one's appetite\n""]"
败兴,['disappointed'],['adj.']
败血症,['blood poisoning'],['n.']
败仗,"['defeat', 'lost battle']","['vt.', 'misc.']"
败阵,['be defeated on the battlefield'],['be defeated on the battlefield\n ;\n']
败走,['discomfit'],['vt.']
拜,"['worship', 'do obeisance']","['n.', 'misc.']"
拜把子,['become sworn brothers'],['become sworn brothers\n']
拜拜,['bye'],['bye\n']
拜别,['take leave of'],['take leave of\n ;\n']
拜忏,['say mass for people'],['say mass for people\n']
拜辞,['take leave'],['take leave\n ;\n']
拜倒,"['grovel', 'prostrate oneself']","['vi.', 'misc.']"
